Segments, Location, Referenced Data type, Value Set
RQ1,6,ID,HL70136
RQ1,4,CWE,HL79999
LDP,5,IS,HL70004
LDP,10,VH,HL70267
LDP,4,CWE,HL70265
LDP,6,ID,HL70183
LDP,2,CWE,HL70264
LDP,3,IS,HL70069
LDP,12,CWE,HL70462
OBR,12,CWE,HL79999
OBR,42,ID,HL70225
OBR,24,ID,HL70074
OBR,30,ID,HL70124
OBR,41,ID,HL70224
OBR,44,CNE,HL70088
OBR,11,ID,HL70065
OBR,46,CWE,HL70411
OBR,49,IS,HL70507
OBR,48,CWE,HL70476
OBR,25,ID,HL70123
OBR,45,CNE,HL70340
CSP,4,CWE,HL79999
DMI,1,CNE,HL70055
DMI,2,CNE,HL70118
CSS,1,CWE,HL79999
CSR,10,CWE,HL79999
OBX,2,ID,HL70125
OBX,8,IS,HL70078
OBX,15,CWE,HL79999
OBX,20,CWE,HL70163
OBX,10,ID,HL70080
OBX,11,ID,HL70085
OBX,22,CNE,HL70725
RQD,7,IS,HL70319
RQD,3,CWE,HL79999
RQD,8,IS,HL70320
GT1,11,CWE,HL70063
GT1,26,CWE,HL70218
GT1,47,CWE,HL70222
GT1,33,IS,HL70223
GT1,34,IS,HL70009
GT1,22,ID,HL70136
GT1,20,IS,HL70066
GT1,57,IS,HL70099
GT1,52,IS,HL70295
GT1,9,IS,HL70001
GT1,10,IS,HL70068
GT1,43,CWE,HL70212
GT1,23,CWE,HL70341
GT1,35,CWE,HL70171
GT1,40,IS,HL70231
GT1,44,CWE,HL70189
GT1,53,IS,HL70311
GT1,55,CWE,HL70005
GT1,36,CWE,HL70296
GT1,45,XPN,HL70200
GT1,30,CWE,HL70002
GT1,38,CWE,HL70215
GT1,37,IS,HL70220
GT1,41,CWE,HL70006
FAC,2,ID,HL70331
PV1,23,IS,HL70046
PV1,24,IS,HL70044
PV1,51,IS,HL70326
PV1,31,IS,HL70021
PV1,29,IS,HL70110
PV1,37,DLD,HL70113
PV1,10,IS,HL70069
PV1,18,IS,HL70018
PV1,14,IS,HL70023
PV1,16,IS,HL70099
PV1,8,XCN,HL70010
PV1,22,IS,HL70045
PV1,38,CWE,HL70114
PV1,39,IS,HL70115
PV1,15,IS,HL70009
PV1,12,IS,HL70087
PV1,2,IS,HL70004
PV1,28,IS,HL70073
PV1,36,IS,HL70112
PV1,50,CX,HL70203
PV1,20,FC,HL70064
PV1,34,IS,HL70111
PV1,21,IS,HL70032
PV1,13,IS,HL70092
PV1,40,IS,HL70116
PV1,41,IS,HL70117
PV1,4,IS,HL70007
PV2,25,IS,HL70217
PV2,18,IS,HL70214
PV2,40,CWE,HL70432
PV2,49,IS,HL70534
PV2,2,CWE,HL70129
PV2,16,IS,HL70213
PV2,31,IS,HL70219
PV2,21,IS,HL70215
PV2,24,IS,HL70216
PV2,44,IS,HL70316
PV2,41,CWE,HL70433
PV2,30,CWE,HL70218
PV2,27,IS,HL70112
PV2,7,IS,HL70130
PV2,36,ID,HL70136
PV2,45,CWE,HL70435
PV2,43,IS,HL70315
PV2,39,CWE,HL70431
PV2,38,CWE,HL70430
PV2,42,CWE,HL70434
CTD,6,CWE,HL70185
CTD,1,CWE,HL70131
CTD,7,PLN,HL70338
SCD,10,CWE,HL70682
SCD,32,CNE,HL70088
SCD,20,CNE,HL70532
SCD,34,XCN,HL70010
SCD,28,CWE,HL70702
PMT,4,CWE,HL70570
CTI,3,CWE,HL79999
SCH,25,CWE,HL70278
SCH,7,CWE,HL70276
SCH,8,CWE,HL70277
PEO,8,ID,HL70237
PEO,9,ID,HL70238
PEO,25,ID,HL70243
PEO,22,ID,HL70242
PEO,12,ID,HL70241
PEO,10,ID,HL70239
PEO,11,ID,HL70240
PEO,1,CWE,HL79999
IPC,6,CWE,HL79999
PES,13,ID,HL70236
PES,12,ID,HL70235
PES,11,ID,HL70234
